Reporter Name,Partner Name,Export (US$ Thousand)
Albania,Austria,26.75
Albania,Belgium,95.89
Albania,Bulgaria,16010.17
Albania,Bosnia and Herzegovina,148.56
Albania,Brazil,0
Albania,China,5954.76
Albania,Germany,109.53
Albania,"Egypt, Arab Rep.",0
Albania,Spain,8.79
Albania,Estonia,0
Albania,Finland,0
Albania,France,532.72
Albania,United Kingdom,0
Albania,Greece,48136.71
Albania,Greenland,0
Albania,Croatia,168.4
Albania,Hungary,0
Albania,India,1484.75
Albania,"Iran, Islamic Rep.",0
Albania,Italy,60562.36
Albania,Luxembourg,0
Albania,North Macedonia,8266.51
Albania,Mongolia,0
Albania,Montenegro,12415.72
Albania,Netherlands,7.28
Albania,Pakistan,0
Albania,Poland,18.24
Albania,Portugal,0
Albania,Romania,0
Albania,"Serbia, FR(Serbia/Montenegro)",31208.92
Albania,Slovak Republic,0
Albania,Slovenia,0
Albania,Tunisia,0
Albania,Turkey,488.33
Andorra,Austria,0
Andorra,Belgium,0
Andorra,China,0
Andorra,Germany,0.27
Andorra,Spain,286.16
Andorra,France,0.19
Andorra,Pakistan,0
Andorra,Portugal,0
Angola,Belgium,1.95
Angola,Brazil,770.78
Angola,Canada,0
Angola,Switzerland,0
Angola,China,63508.33
Angola,"Congo, Rep.",160.11
Angola,Costa Rica,0
Angola,Germany,1.02
Angola,Denmark,0
Angola,"Egypt, Arab Rep.",4.12
Angola,Spain,7382.37
Angola,France,4.62
Angola,Gabon,0
Angola,United Kingdom,2.63
Angola,Greece,0
Angola,India,136.34
Angola,"Iran, Islamic Rep.",0
Angola,Israel,0
Angola,Italy,2851.93
Angola,Japan,0
Angola,"Korea, Rep.",0
Angola,Lebanon,0
Angola,Morocco,0
Angola,Namibia,1346.5
Angola,Netherlands,0.09
Angola,Pakistan,0
Angola,Poland,1539.28
Angola,Portugal,2465.73
Angola,Qatar,0
Angola,Russian Federation,3.49
Angola,Saudi Arabia,0
Angola,Singapore,0
Angola,Sao Tome and Principe,2020.8
Angola,Sweden,0
Angola,Tunisia,0
Angola,Turkey,3.01
Angola,United States,32.74
Angola,Vietnam,0.05
Antigua and Barbuda,Canada,0
Antigua and Barbuda,China,0
Antigua and Barbuda,Colombia,0
Antigua and Barbuda,Dominica,0
Antigua and Barbuda,Dominican Republic,0
Antigua and Barbuda,France,0
Antigua and Barbuda,United Kingdom,0
Antigua and Barbuda,Grenada,0
Antigua and Barbuda,India,0
Antigua and Barbuda,Italy,0
Antigua and Barbuda,Jamaica,0
Antigua and Barbuda,Mexico,0
Antigua and Barbuda,Montserrat,0
Antigua and Barbuda,Pakistan,0
Antigua and Barbuda,Panama,0
Antigua and Barbuda,Saint Maarten (Dutch part),0
Antigua and Barbuda,Trinidad and Tobago,0
Antigua and Barbuda,United States,0
Argentina,United Arab Emirates,0
Argentina,Australia,373.05
Argentina,Austria,0
Argentina,Belgium,0
Argentina,Bolivia,294.47
Argentina,Brazil,32073.15
Argentina,Canada,12.83
Argentina,Switzerland,0
Argentina,Chile,46258.83
Argentina,China,22770.12
Argentina,Cyprus,0
Argentina,Czech Republic,0
Argentina,Germany,19.71
Argentina,Denmark,0
Argentina,Algeria,0
Argentina,"Egypt, Arab Rep.",0
Argentina,Spain,411.96
Argentina,Finland,0
Argentina,France,356.61
Argentina,United Kingdom,0
Argentina,Greece,0
Argentina,Croatia,0
Argentina,Hungary,0
Argentina,Indonesia,1167.31
Argentina,India,0
Argentina,Ireland,0
Argentina,Israel,0
Argentina,Italy,327.56
Argentina,Japan,99.93
Argentina,Kazakhstan,0
Argentina,"Korea, Rep.",127799.74
Argentina,Sri Lanka,0
Argentina,Morocco,0
Argentina,Madagascar,0
Argentina,Mexico,194.75
Argentina,Mozambique,0
Argentina,Malaysia,0
Argentina,Netherlands,0
Argentina,Norway,0
Argentina,New Zealand,896.93
Argentina,"Other Asia, nes",0
Argentina,Pakistan,0
Argentina,Peru,511.51
Argentina,Poland,0
Argentina,Portugal,0
Argentina,Paraguay,4857.24
Argentina,Russian Federation,0
Argentina,Saudi Arabia,536.86
Argentina,Sweden,0
Argentina,Tunisia,0
Argentina,Turkey,0
Argentina,Ukraine,0
Argentina,Uruguay,4577.67
Argentina,United States,2159
Argentina,Vietnam,0
Armenia,Australia,0
Armenia,Austria,0
Armenia,Belgium,38713.74
Armenia,Bulgaria,206055.63
Armenia,Belarus,6.29
Armenia,Brazil,0
Armenia,Canada,0.02
Armenia,Chile,9024.62
Armenia,China,357973.18
Armenia,Curaçao,2.87
Armenia,Czech Republic,0
Armenia,Germany,405.21
Armenia,Denmark,105.68
Armenia,"Egypt, Arab Rep.",0
Armenia,Spain,0
Armenia,Finland,0.52
Armenia,France,9.58
Armenia,United Kingdom,0.12
Armenia,Georgia,4072.73
Armenia,Greece,0
Armenia,"Hong Kong, China",49.21
Armenia,Croatia,13.79
Armenia,Indonesia,0
Armenia,India,0
Armenia,"Iran, Islamic Rep.",4823.76
Armenia,Israel,0
Armenia,Italy,0.01
Armenia,"Korea, Rep.",10402.69
Armenia,Netherlands,0.17
Armenia,Pakistan,0
Armenia,Poland,0
Armenia,Russian Federation,48168.71
Armenia,"Serbia, FR(Serbia/Montenegro)",0
Armenia,Slovak Republic,0
Armenia,Slovenia,0
Armenia,Thailand,757.17
Armenia,Turkey,0
Armenia,Ukraine,69.6
Armenia,United States,6.73
Australia,United Arab Emirates,6482.5
Australia,Argentina,561.44
Australia,Austria,32.74
Australia,Belgium,131513.27
Australia,Bangladesh,152.77
Australia,Bosnia and Herzegovina,0
Australia,Brazil,1822.8
Australia,Barbados,0
Australia,Canada,208204.07
Australia,Switzerland,3125.41
Australia,Chile,2909.9
Australia,China,82493032.84
Australia,Christmas Island,29.5
Australia,Cyprus,0
Australia,Czech Republic,0
Australia,Germany,443860.69
Australia,Denmark,0
Australia,Algeria,0
Australia,Ecuador,243.61
Australia,"Egypt, Arab Rep.",12.25
Australia,Spain,172553.3
Australia,Finland,300775.09
Australia,Fiji,175.4
Australia,France,62.38
Australia,Gabon,19.08
Australia,United Kingdom,32656.6
Australia,Ghana,48.31
Australia,Guinea,15.27
Australia,Greece,0
Australia,Guyana,0
Australia,"Hong Kong, China",15772.82
Australia,Honduras,0
Australia,Croatia,0
Australia,Indonesia,674106.06
Australia,India,416337.28
Australia,"Iran, Islamic Rep.",0
Australia,Israel,0
Australia,Italy,7736.75
Australia,Jordan,41.14
